"","Gene","Rep2","FPKM.cellexpress","LOG.FPKM.0.01.","Curve"
"891","FBgn0040890",-6.5376,32.15975,"1.50744768589288",1
"566","FBgn0031676",-6.5368,11.208665,"1.04994117976965",1
"539","FBgn0025638",-6.5345,66.55365,"1.82323712835774",1
"477","FBgn0038234",-6.5148,20.48655,"1.31168076632139",1
"849","FBgn0033951",-6.5083,28.6394,"1.45711553103577",1
"741","FBgn0039622",-6.5029,7.7096145,"0.887595613198041",1
"557","FBgn0035848",-6.4997,11.19095,"1.04925485858634",1
"412","FBgn0031228",-6.4996,116.2107,"2.06528348687648",1
"508","FBgn0260464",-6.4929,19.721,"1.29514909657892",1
"350","FBgn0086904",-6.4901,1387.005,"3.1420811578159",1
"458","FBgn0053217",-6.4887,3.74135,"0.574187585605674",1
"335","FBgn0032020",-6.4839,49.40165,"1.69382935649882",1
"394","FBgn0262743",-6.4792,34.5,"1.53794495929149",1
"507","FBgn0031281",-6.4791,7.82673,"0.89413488421464",1
"1248","FBgn0039260",-6.4784,21.51615,"1.33296636223083",1
"803","FBgn0015271",-6.4751,9.17385,"0.963024781771637",1
"210","FBgn0015218",-6.4748,154.333,"2.18848693747661",1
"1101","FBgn0046222",-6.4676,23.2897,"1.36735032921558",1
"295","FBgn0011763",-6.4637,53.9262,"1.73188034558062",1
"230","FBgn0052230",-6.4631,158.3385,"2.19961395375272",1
"2598","FBgn0040600",-6.4623,29.24495,"1.46619936018925",1
"590","FBgn0033554",-6.4617,5.688665,"0.75577312741993",1
"236","FBgn0263757",-6.4487,8.689,"0.93946933084353",1
"720","FBgn0037102",-6.4378,29.7137,"1.47310286934043",1
"160","FBgn0033155",-6.4323,20.05005,"1.30233201117179",1
"916","FBgn0036853",-6.4261,31.29315,"1.49558804229994",1
"499","FBgn0030871",-6.426,39.9517,"1.60164395515242",1
"511","FBgn0029798",-6.4207,13.0713,"1.11665090566805",1
"988","FBgn0263855",-6.4198,20,"1.30124708863621",1
"977","FBgn0027053",-6.4095,64.8421,"1.81192404369914",1
"593","FBgn0051229",-6.4087,40.3725,"1.60619320174472",1
"277","FBgn0034727",-6.405,39.98995,"1.60205944845952",1
"480","FBgn0052708",-6.4021,22.98545,"1.36164191274044",1
"824","FBgn0261353",-6.3994,43.7971,"1.64154450413266",1
"893","FBgn0039702",-6.3915,18.342,"1.26368340055719",1
