Gene,Rep1,Rep2,avgatsglevel,FPKM cellexpress,LOG(FPKM+0.01),Curve
FBgn0085424,2.4743,2.2641,2.243,0.0372751,-1.32536754382819,0
FBgn0030768,3.2778,1.3292,2.2432,28.84055,1.46015409685703,1
FBgn0050104,-0.53376,2.5536,2.2439,4.7135985,0.674272976019195,1
FBgn0039010,2.3604,2.4877,2.244,0.11598,-0.899698395986146,0
FBgn0042106,4.1772,0.52971,2.246,1.62414,0.213289260655951,1
FBgn0085407,2.5614,2.1178,2.2461,2.4625595,0.393146751315023,1
FBgn0034103,2.0822,2.5773,2.2471,0,-2,0
FBgn0001624,2.106,2.658,2.2493,35.7287,1.55313875093698,1
FBgn0261530,3.7948,0.90403,2.2501,14,1.14643813528577,1
FBgn0031952,0.85672,3.6721,2.2505,9.10616,0.959811938986103,1
FBgn0010052,1.7373,2.9887,2.2509,0.142161,-0.817696646219918,0
FBgn0031110,1.9282,2.629,2.2521,0.02441585,-1.46324149980628,0
FBgn0031771,2.7694,1.5978,2.2525,111.474,2.04721254262794,1
FBgn0266101,1.2829,3.3404,2.2532,2.5,0.399673721481038,1
FBgn0259241,1.2974,3.4229,2.254,0.0198418,-1.52517498460115,0
FBgn0032665,2.8974,1.7474,2.2542,0,-2,0
FBgn0264305,4.6318,-0.4544,2.2546,11.5,1.06107532362979,1
FBgn0033438,1.6191,2.965,2.2554,20.96475,1.32169679313518,1
FBgn0034132,4.6214,-0.017665,2.2557,0.0464511,-1.24832759104148,0
FBgn0050366,3.2804,1.456,2.2557,0,-2,0
FBgn0011722,4.9046,-0.73909,2.2558,72.444035,1.86006257654892,1
FBgn0260868,0.91493,2.7955,2.2571,0,-2,0
FBgn0002535,2.8579,1.9466,2.2609,0,-2,0
FBgn0263994,2.3754,2.1833,2.261,0,-2,0
FBgn0265264,2.186,2.2902,2.2612,0,-2,0
FBgn0036082,2.1087,2.6626,2.2614,0.1176025,-0.894140816793784,0
FBgn0031306,3.8491,0.23959,2.2632,0.0569157,-1.17447197455771,0
FBgn0038053,4.115,0.58247,2.2642,20.395,1.30973659910929,1
FBgn0039030,4.0799,0.66168,2.2645,0,-2,0
FBgn0085305,2.8458,0.42554,2.2646,0,-2,0
FBgn0036426,3.0437,1.5561,2.2655,0.03119705,-1.38513388140839,0
FBgn0050096,2.0975,1.7043,2.2659,2.09949,0.324177470957476,1
FBgn0004575,0.51019,3.5417,2.2673,0.0111523,-1.67464240261519,0
FBgn0263247,1.5642,3.1237,2.2682,0,-2,0
FBgn0017558,-0.86647,5.1257,2.2684,14.14275,1.15084083518083,1
FBgn0034060,2.9059,1.5103,2.2686,22.08375,1.34426943547699,1
FBgn0264339,3.6357,0.75724,2.2688,6,0.778874472002739,1
FBgn0085295,4.3039,-0.085101,2.2688,0.0726555,-1.08272824263485,0
FBgn0033108,3.7925,0.30169,2.2734,0.14953215,-0.797151781819445,0
FBgn0264000,2.9432,1.4856,2.2751,0,-2,0
FBgn0019968,3.1438,1.3766,2.2776,14.04435,1.14781076471109,1
FBgn0030764,1.0118,3.3068,2.2781,0.533745,-0.264604723568145,0
FBgn0050401,1.8245,2.6011,2.2791,0.0360763,-1.33652240272068,0
FBgn0050471,1.897,2.7812,2.2791,0,-2,0
FBgn0043535,3.1677,1.5456,2.2842,0,-2,0
FBgn0037026,3.1998,1.3627,2.2868,30.38795,1.48284429631574,1
FBgn0031757,2.6982,1.4096,2.287,0.307844,-0.497785982413439,0
FBgn0032303,2.985,1.5829,2.2875,0.0168626,-1.57085195477207,0
FBgn0036727,4.0366,0.74403,2.2889,0.119777,-0.886802269463015,0
FBgn0260642,2.55,2.1529,2.2892,46.2960232,1.66563748502205,1
FBgn0035708,3.8682,0.869,2.2896,18.00442,1.2556202839521,1
FBgn0029737,1.8483,2.2669,2.2918,41.67145,1.61994281864188,1
FBgn0029701,3.8967,0.84385,2.2922,0.070391,-1.09479256902669,0
FBgn0039555,3.8194,0.87899,2.293,99.28055,1.99690791638912,1
FBgn0029524,3.2763,1.6519,2.2936,1.04324,0.022527344404216,1
FBgn0030573,1.605,3.2535,2.2944,2.34856,0.372646928848614,1
FBgn0031574,4.6803,-0.19781,2.2953,5.854165,0.76820618154804,1
FBgn0052549,2.4961,2.6036,2.2959,116.2702,2.06550577007828,1
FBgn0032022,2.8117,1.9781,2.2959,12.720578,1.1048481221542,1
FBgn0030997,1.2804,3.5028,2.2959,0.1251077,-0.869319899148088,0
FBgn0035044,3.3596,1.2865,2.2964,18.3959,1.26495705815744,1
FBgn0051388,2.4038,2.0915,2.2964,3.132215,0.497235897482787,1
FBgn0053653,1.3521,2.8721,2.2969,6.1821515,0.791841573451501,1
FBgn0025645,1.9326,2.4591,2.2971,0.1209619,-0.882855032790297,0
FBgn0030038,1.617,3.1227,2.2979,79.65885,1.90128854827817,1
FBgn0029903,1.2419,3.1791,2.2991,28.89385,1.46095569474246,1
FBgn0261850,3.1869,1.4238,2.2995,32.5,1.51201696949613,1
FBgn0039188,2.6451,2.1271,2.3007,15.21695,1.18261292166688,1
FBgn0024234,4.0266,0.81256,2.3021,107.8385,2.03281410913951,1
FBgn0040260,2.422,2.448,2.3026,62.74355,1.79763829910608,1
FBgn0029932,0.26879,4.373,2.3026,0.04405265,-1.26718300934869,0
